GEN,UnitOnT0State,PowerGeneratedT0
NYISO_Arthur_Kill_ST_2_B82,12,349.0
NYISO_Arthur_Kill_ST_3_B82,85,539.0
NYISO_Allegany_B62,141,66.0
NYISO_Brooklyn_Navy_Yard_B82,8,240.0
NYISO_Astoria_3_B82,-145,0.0
NYISO_Astoria_5_B82,5,2.0
NYISO_Wading_River_1_B80,-139,0.0
NYISO_Bowline_1_B77,-145,0.0
NYISO_Ravenswood_ST_01_B82,-145,0.0
NYISO_Ravenswood_ST_02_B82,-145,0.0
NYISO_Ravenswood_ST_03_B82,-145,0.0
NYISO_Somerset_B56,127,731.0
NYISO_Barrett_ST_01_B79,10,209.0
NYISO_Barrett_ST_02_B79,11,201.0
NYISO_Wading_River_2_B80,-58,0.0
NYISO_Northport_1_B80,11,410.0
NYISO_Northport_2_B80,11,410.0
NYISO_Northport_3_B80,12,411.0
NYISO_Port_Jefferson_3_B80,-145,0.0
NYISO_Greenidge_4_B65,-145,0.0
NYISO_Cayuga_1_B65,9,166.0
NYISO_Danskammer_1_B77,-145,0.0
NYISO_Roseton_1_B77,-145,0.0
NYISO_Roseton_2_B77,-145,0.0
NYISO_Danskammer_2_B77,-145,0.0
NYISO_Danskammer_3_B77,-145,0.0
NYISO_Danskammer_4_B77,7,243.0
NYISO_Bowline_2_B77,-145,0.0
NYISO_Wading_River_3_B80,-139,0.0
NYISO_Oswego_5_B50,-145,0.0
NYISO_Oswego_6_B50,-145,0.0
NYISO_Port_Jefferson_4_B80,-145,0.0
NYISO_Hillburn_GT_B77,144,10.0
NYISO_Northport_4_B80,12,413.0
NYISO_Athens_1_B42,11,390.0
NYISO_Athens_2_B42,11,378.0
NYISO_Athens_3_B42,9,392.0
NYISO_Glenwood_GT_02_B79,-140,0.0
NYISO_Glenwood_GT_03_B79,-140,0.0
NYISO_Holtsville_01_B80,-140,0.0
NYISO_Holtsville_02_B80,-140,0.0
NYISO_Holtsville_03_B80,-140,0.0
NYISO_Holtsville_04_B80,-140,0.0
NYISO_Holtsville_05_B80,-140,0.0
NYISO_Holtsville_06_B80,-140,0.0
NYISO_Holtsville_07_B80,-140,0.0
NYISO_Holtsville_08_B80,-140,0.0
NYISO_Holtsville_09_B80,-140,0.0
NYISO_Holtsville_10_B80,-140,0.0
NYISO_Barrett_GT_01_B79,6,1.0
NYISO_Barrett_GT_02_B79,6,1.0
NYISO_Barrett_03_B79,6,1.0
NYISO_Barrett_04_B79,6,1.0
NYISO_Barrett_05_B79,6,1.0
NYISO_Barrett_06_B79,6,1.0
NYISO_Barrett_08_B79,6,1.0
NYISO_West_Babylon_4_B79,-140,0.0
NYISO_Indeck-Silver_Springs_B65,-145,0.0
NYISO_Sterling_B45,-145,0.0
NYISO_Indeck-Yerkes_B57,-145,0.0
NYISO_Indeck-Oswego_B50,-145,0.0
NYISO_Lockport_B56,-145,0.0
NYISO_Saranac_Energy_B48,5,268.0
NYISO_Flynn_B80,8,111.0
NYISO_Rensselaer_B42,-145,0.0
NYISO_Selkirk-II_B42,-145,0.0
NYISO_Greenport_GT1_B80,144,21.0
NYISO_Far_Rockaway_GT2_B79,144,23.5
NYISO_KIAC_JFK_GT1_B82,13,65.0
NYISO_KIAC_JFK_GT2_B82,14,71.0
NYISO_Freeport_CT_2_B79,144,26.0
NYISO_Bethpage_B79,14,61.0
NYISO_Castleton_Energy_Center_B42,-145,0.0
NYISO_Independence_B50,86,1218.0
NYISO_Indeck-Olean_B61,8,84.0
NYISO_Beaver_Falls_B47,12,98.0
NYISO_Syracuse_B51,64,102.0
NYISO_Batavia_B62,-145,0.0
NYISO_Fortistar_-_N.Tonawanda_B57,-145,0.0
NYISO_Carr_St.-E._Syr_B51,-145,0.0
NYISO_Astoria_2_B82,9,153.0
NYISO_Kent_B82,144,28.5
NYISO_Pouch_B82,144,26.0
NYISO_Gowanus_5_B82,144,19.0
NYISO_Gowanus_6_B82,144,24.5
NYISO_Hellgate_1_B82,144,23.5
NYISO_Hellgate_2_B82,144,22.75
NYISO_Harlem_River_1_B82,144,24.25
NYISO_Harlem_River_2_B82,144,23.88
NYISO_Vernon_Blvd_2_B82,144,18.5
NYISO_Vernon_Blvd_3_B82,144,28.5
NYISO_Brentwood_B80,144,23.5
NYISO_Port_Jefferson_GT_02_B80,144,10.0
NYISO_Port_Jefferson_GT_03_B80,144,11.0
NYISO_Far_Rockaway_GT1_B79,144,36.0
NYISO_Pilgrim_GT1_B80,144,13.7
NYISO_Pilgrim_GT2_B80,144,26.58
NYISO_Glenwood_GT_04_B79,86,37.0
NYISO_Glenwood_GT_05_B79,144,26.0
NYISO_East_River_1_B82,13,223.0
NYISO_East_River_2_B82,13,227.0
NYISO_Pinelawn_Power_1_B79,141,81.0
NYISO_Bethpage_3_B79,13,83.0
NYISO_Astoria_CC_1_B82,141,318.0
NYISO_Astoria_CC_2_B82,141,320.0
NYISO_Bethlehem_Energy_Center_B42,-145,0.0
NYISO_Astoria_East_Energy_-_CC1_B82,141,313.0
NYISO_Bethpage_GT4_B79,144,31.5
NYISO_Caithness_CC_1_B80,14,373.0
NYISO_EMPIRE_CC_1_B42,10,327.0
NYISO_EMPIRE_CC_2_B42,10,327.0
NYISO_Astoria_Energy_2_-_CC3_B82,86,313.0
NYISO_Astoria_Energy_2_-_CC4_B82,86,313.0
NYISO_Nassau_Energy_Corporation_B79,10,53.0
NYISO_CPV_VALLEY___CC1_B77,12,361.0
NYISO_CPV_VALLEY___CC2_B77,13,362.0
NYISO_Jamestown_7_B60,-140,0.0
NYISO_Indeck-Corinth_B42,-44,0.0
NYISO_Stony_Brook___(BTM:NG)_B80,8,46.0
NYISO_Ravenswood_CC_04_B82,14,286.0
NYISO_Astoria_East_Energy_-_CC2_B82,141,313.0
NYISO_Shoemaker_GT_B77,31,0.0
NYISO_Freeport_CT_1_B79,144,50.0
NYISO_Selkirk-I_B42,72,143.0
NYISO_Carthage_Energy_B47,134,61.0
NYISO_Massena_B48,120,55.0
NYISO_Astoria_GT_2-1_B82,144,0.0
NYISO_Astoria_GT_2-2_B82,144,0.0
NYISO_Astoria_GT_2-3_B82,144,0.0
NYISO_Astoria_GT_2-4_B82,-93,0.0
NYISO_Astoria_GT_3-1_B82,144,0.0
NYISO_Astoria_GT_3-2_B82,144,0.0
NYISO_Astoria_GT_3-3_B82,-93,0.0
NYISO_Astoria_GT_3-4_B82,21,0.0
NYISO_Astoria_GT_4-1_B82,144,0.0
NYISO_Astoria_GT_4-2_B82,-119,0.0
NYISO_Astoria_GT_4-3_B82,144,0.0
NYISO_Astoria_GT_4-4_B82,21,0.0
NYISO_Shoreham_GT3_B80,-130,0.0
NYISO_Shoreham_GT4_B80,144,0.0
NYISO_59_St.__GT_1_B82,-129,0.0
NYISO_74_St.__GT_1_B82,-130,0.0
NYISO_74_St.__GT_2_B82,-130,0.0
NYISO_Allied_Frozen_Storage_B55,-139,0.0
NYISO_Arthur_Kill_Cogen_B82,144,11.1
NYISO_Arthur_Kill_GT_1_B82,144,20.0
NYISO_Astoria_GT_01_B82,144,16.0
NYISO_Barrett_09_B79,144,41.74
NYISO_Barrett_10_B79,144,0.0
NYISO_Barrett_11_B79,144,0.0
NYISO_Barrett_12_B79,144,0.0
NYISO_Binghamton_(RET_-_1/9/18)_B71,139,47.7
NYISO_Burrstone_Engy_Center_LLC_LU_B45,-139,0.0
NYISO_Burrstone_Engy_Center_LLC_U_B45,-139,0.0
NYISO_Charles_P_Keller_09_B79,-139,0.0
NYISO_Charles_P_Keller_10_B79,-139,0.0
NYISO_Charles_P_Keller_11_B79,-139,0.0
NYISO_Charles_P_Keller_14_B79,-139,0.0
NYISO_Coxsackie_GT_B39,-130,0.0
NYISO_East_Hampton_2_B80,-139,0.0
NYISO_East_Hampton_3_B80,-139,0.0
NYISO_East_Hampton_4_B80,-139,0.0
NYISO_East_Hampton_GT_01_B80,-139,0.0
NYISO_Freeport_1-4_B79,-139,0.0
NYISO_Freeport_2-3_B79,-130,0.0
NYISO_General_Mills_Inc_B57,144,3.8
NYISO_Gowanus_1-1_B82,144,0.0
NYISO_Gowanus_1-2_B82,144,0.0
NYISO_Gowanus_1-3_B82,144,0.0
NYISO_Gowanus_1-4_B82,144,0.0
NYISO_Gowanus_1-5_B82,144,0.0
NYISO_Gowanus_1-6_B82,144,0.0
NYISO_Gowanus_1-7_B82,144,0.0
NYISO_Gowanus_2-1_B82,144,0.0
NYISO_Gowanus_2-2_B82,144,0.0
NYISO_Gowanus_2-3_B82,144,0.0
NYISO_Gowanus_2-4_B82,144,0.0
NYISO_Gowanus_2-5_B82,144,0.0
NYISO_Gowanus_2-6_B82,144,0.0
NYISO_Gowanus_2-7_B82,144,0.0
NYISO_Gowanus_2-8_B82,144,0.0
NYISO_Gowanus_3-1_B82,144,0.0
NYISO_Gowanus_3-2_B82,144,0.0
NYISO_Gowanus_3-3_B82,144,0.0
NYISO_Gowanus_3-4_B82,144,0.0
NYISO_Gowanus_3-5_B82,144,0.0
NYISO_Gowanus_3-6_B82,144,0.0
NYISO_Gowanus_3-7_B82,144,0.0
NYISO_Gowanus_3-8_B82,144,0.0
NYISO_Gowanus_4-1_B82,144,0.0
NYISO_Gowanus_4-2_B82,144,0.0
NYISO_Gowanus_4-3_B82,144,0.0
NYISO_Gowanus_4-4_B82,144,0.0
NYISO_Gowanus_4-5_B82,144,0.0
NYISO_Gowanus_4-6_B82,144,0.0
NYISO_Gowanus_4-8_B82,144,0.0
NYISO_Hudson_Ave_3_B82,144,0.0
NYISO_Hudson_Ave_4_B82,144,0.0
NYISO_Hudson_Ave_5_B82,144,0.0
NYISO_Jamestown_5_B60,-145,0.0
NYISO_Jamestown_6_B60,-145,0.0
NYISO_Narrows_1-1_B82,144,0.0
NYISO_Narrows_1-2_B82,144,0.0
NYISO_Narrows_1-3_B82,144,0.0
NYISO_Narrows_1-4_B82,144,0.0
NYISO_Narrows_1-5_B82,144,0.0
NYISO_Narrows_1-6_B82,144,0.0
NYISO_Narrows_1-7_B82,144,0.0
NYISO_Narrows_1-8_B82,144,0.0
NYISO_Narrows_2-1_B82,144,0.0
NYISO_Narrows_2-2_B82,144,0.0
NYISO_Narrows_2-3_B82,144,0.0
NYISO_Narrows_2-4_B82,144,0.0
NYISO_Narrows_2-5_B82,144,0.0
NYISO_Narrows_2-6_B82,144,0.0
NYISO_Narrows_2-7_B82,144,0.0
NYISO_Narrows_2-8_B82,144,0.0
NYISO_Northport_GT_B80,144,0.0
NYISO_Ravenswood_01_B82,144,18.6
NYISO_Ravenswood_10_B82,-139,0.0
NYISO_Ravenswood_11_B82,-139,0.0
NYISO_S_Hampton_1_B80,144,0.0
NYISO_Shoreham_1_B80,144,0.0
NYISO_Shoreham_2_B80,-139,0.0
NYISO_South_Cairo_B39,-130,0.0
NYISO_Southold_1_B80,144,0.0
NYISO_St._Elizabeth_Medical_Center_B45,-139,0.0
NYISO_FitzPatrick_B50,1143,854.5
NYISO_Nine_Mile_Point_1_B50,1143,629.0
NYISO_Nine_Mile_Point_2_B50,1143,1299.0
NYISO_Indian_Point_2_B74,1143,1025.9
NYISO_Indian_Point_3_B74,1143,1039.9
NYISO_Ginna_B53,1143,581.7
NYISO_Niagara_B55,1143,2460.0
NYISO_St._Lawrence_B48,1143,856.0
NYISO_PJM_import_B75,1143,1351.5
NYISO_PJM_import_B81,1143,874.5
NYISO_PJM_import_B66,1143,424.0
NYISO_HQ_import_B48,1143,845.0
NYISO_HQ_import_B54,1143,845.0
NYISO_NE_import_B37,1143,189.0
NYISO_NE_import_B73,1143,111.0
NYISO_IESO_import_B54,1143,1148.1
NYISO_IESO_import_B48,134,141.9
